,Country Name,Year,LowerSecondaryAttainment,UpperSecondaryAttainment,BachelorsAttainment,MastersAttainment,DoctoralAttainment,GDP_Millions,%_expenditure_gdp
243,Azerbaijan,2016,95.64131165,88.66445159999998,15.74190044,,,37867518957.2,2.903409958
244,Belgium,2016,84.78952026,67.0826416,32.16696167,13.66187,0.6238899827000001,475739588764.76,6.45953989
245,Bangladesh,2016,41.50080109,28.96916962,8.509599686,3.481189966,0.165959999,221415188000.48,1.535539985
246,Bulgaria,2016,95.14305115,75.59954071,24.62815094,,,53806894796.38,
247,Bahrain,2016,69.22395325,54.04759979,14.28199959,1.293069959,0.2333900034,32234973404.26,
248,Bosnia and Herzegovina,2016,81.16555786,62.3772583,8.377280235,1.67553997,0.1658100039,16913330693.97,
249,Switzerland,2016,96.8901825,84.53691101,,18.94170952,2.9063100810000004,695600652899.28,5.104730129
250,Colombia,2016,52.07934952,47.26855087,10.90172005,3.316800117,,282825009887.46,4.477210045
251,Costa Rica,2016,53.1069603,38.29613876,20.63398933,2.648960114,,58847016044.74,7.097680092
252,Cyprus,2016,80.31255341,71.16316223,26.61514091,10.62586975,0.7183600068000001,20953442550.37,6.163799762999999
253,Czech Republic,2016,99.80445862,90.22885895,20.07844925,15.81075954,0.6527400017,196272068576.34,5.587379932
254,Germany,2016,96.51364136,83.00641632,25.58012009,11.50854969,1.32317996,3467498002104.33,4.840219975
255,Denmark,2016,92.4495697,78.18444061,30.97982979,11.49855995,0.8351899981,313115929314.34,
256,Ecuador,2016,51.86396027,42.29951859,11.71864033,1.245229959,,99937696000.0,
257,France,2016,83.68582916,69.66562653,17.40369987,9.102959633,0.8048300147,2471285607081.72,
258,Georgia,2016,97.95188904,93.45079041,32.84663010000001,28.15081024,0.4130600095000001,15141758566.78,3.593869925
259,Honduras,2016,33.69506073,24.68818092,10.50294971,,,21717622071.38,
260,Hungary,2016,97.17649841,76.05977631,20.40753937,8.652620316,0.7104499935999999,128470534117.95,4.655389786000001
261,Indonesia,2016,43.97230911,33.73175049,8.79403019,0.5486299992,0.04157999903,931877364177.74,
262,"Iran, Islamic Rep.",2016,69.83145905,48.38576889,18.17661095,4.457920074,0.3675400019,417983583565.54,3.365760088
263,Lithuania,2016,94.94135284,86.00730896,33.85807037,13.40935993,0.5862699747,43018087237.57,4.003940105
264,Latvia,2016,100.0,89.41101074,29.3295002,11.69184017,0.4124000072,28052325862.05,4.712989807
265,Mexico,2016,59.71266937,33.29468918,14.71039009,1.395419955,0.07626000047,1078490651625.31,4.909490108
266,Malta,2016,78.21851349,38.07236862,13.48766994,4.5215201380000005,0.2399599999,11721521912.72,5.207540035
267,Netherlands,2016,89.71404266,69.98719788,29.40674019,11.02005959,0.5795900226,783528181704.57,5.479599952999999
268,Norway,2016,99.23400879,77.83640289,27.32571983,10.48950958,0.9964600205,368827142857.14,8.030550003
269,Pakistan,2016,37.23775101,27.61001968,,1.73439002,0.5012000203,278654637737.69,3.002919912
270,Portugal,2016,54.19124985,36.77096176,18.99613953,14.29547024,0.4950500131,206286022781.89,
271,Paraguay,2016,47.79610062,36.63816833,12.35270023,6.671689987000001,0.050269998610000005,36089550659.09,3.438339949
272,West Bank and Gaza,2016,61.10198975,39.63560867,17.58827972,1.5592499969999998,0.2102600038,15405400000.0,5.717730045
273,Qatar,2016,67.49636078,41.01255035,18.88418961,1.435310006,0.4284600019,151732181857.11,
274,Singapore,2016,79.60723877,70.69322968,29.12792015,,,318763807455.66,
275,Serbia,2016,89.49024200000002,71.40995026,14.51091003,2.180660009,0.482039988,40692643373.03,3.640269995
276,Slovak Republic,2016,99.30355835,87.32021332,19.63664055,17.63311005,0.5299000144,89655253976.43,3.911710024
277,Slovenia,2016,97.62046814,81.86884308,19.64331055,14.65443039,2.302239895,44736333522.45,4.801780224
278,Sweden,2016,90.54364777,75.55888367,23.47822952,11.11660004,1.221809983,515654671469.55,7.618619918999999
279,Turkey,2016,58.86444092,37.65670013,,1.785079956,0.3590599895,869692960365.55,
280,Uruguay,2016,54.9455986,28.74780083,10.46405983,1.719849944,,57236652490.17,4.75909996
281,United States,2016,95.58524323,89.09236145,33.43968964,12.61400986,1.85371995,18745075687000.0,
282,Uzbekistan,2016,99.90351868,92.56462097,16.31752014,,,81779012350.88,5.667729855
283,Australia,2017,93.00570679,77.26136017,31.39118958,7.369840145,1.203500032,1329188475752.32,5.124249935
284,Austria,2017,,79.6625824,14.24862957,11.40083981,0.9426599741,416207272209.54,5.358039856
285,Azerbaijan,2017,95.51609039,88.50122833,15.71702003,,,40865558912.39,2.473819971
286,Belgium,2017,86.50417328,69.15045166,34.68994141,14.91699982,0.6481500268,501522868356.44,6.412280083
287,Bangladesh,2017,42.61808014,29.79417038,8.976880074,3.792439938,0.1794099957,249710922462.31,
288,Bulgaria,2017,95.3857193,76.44853973,24.71287918,,,58971520599.25,4.09250021
