Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,15-09-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,4274.89,4817.58,5081.41,5319.46,5386.05,5906.64,6439.69,7253.58,7483.69,8471.01,8992.72,8751.84,6288.25,8086.73,12512.46,19448.35,10117.11,9651.15,13281.77,15565.48,18138.05,20249.69,18525.40,17609.05,18920.84,22278.42,21774.03,24298032258.06,26579005760.35,28781714763.80,31598341233.56,30957483949.58,31708874594.16,33166519417.99,33768660882.79,37939748768.66,46438484107.58,48244309133.49,49984559471.37,51270569883.53,53369787318.62,53991289844.33,54724081490.51,60158929188.26,65108544250.04,69442943089.43,71819083683.74,79611888213.15,91631278239.32,102477791472.39,115279077465.23,128637938711.39,133355749482.48,149990451022.29,172885454931.45,195078678697.23,221415188000.48,249710922462.31,274038973437.28,302563398919.93,324239176765.05
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19839.23,19870.00,19342.00,16563.67,17594.94,17155.42,20249.29,28101000000.00,22555941176.47,21988444444.44,20632090909.09,10943548387.10,10350515463.92,10829710144.93,9697416974.17,18983303571.43,12294221472.74,11315986087.16,15030695296.52,13627323284.54,13245833843.55,14183497963.11,16402846413.10,21144983551.68,26157894736.84,29869283400.04,34379808888.60,44405101469.56,54438966419.86,52023504656.29,50381825504.26,57386216850.34,54033250328.52,55615397665.58,56901994980.33,50647442756.74,53806894796.38,58971520599.25,66230155099.58,68558815111.62,69105101089.55
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3072.70,3467.82,3645.74,3735.11,3905.59,3651.86,3052.39,3392021010.64,3702393617.02,3863563829.79,4229787234.04,4616223404.26,4751063829.79,5200265957.45,5567553457.45,5849467819.15,6101861436.17,6349202393.62,6183776595.74,6621010372.34,9062898936.17,8976196808.51,9593510638.30,11074813829.79,13150159574.47,15968723404.26,18504760638.30,21730000000.00,25710904255.32,22938218085.11,25713271276.60,28776595744.68,30749308510.64,32539468085.11,33387712765.96,31050638297.87,32234973404.26,35473776595.74,37652500000.00,38474521276.60,
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,169.80,190.10,212.25,237.75,266.67,300.39,340.00,390.20,444.90,528.14,538.42,573.40,590.90,670.90,632.40,596.20,642.10,713.00,832.40,1139.80,1335.30,1426.50,1578.30,1732.80,2041.10,2320.70,2472.50,2713999900.00,2817900000.00,3062000000.00,3166000000.00,3111160000.00,3109000000.00,3092000000.00,3259000000.00,3429000000.00,3609000000.00,6332360000.00,6833220000.00,7683870000.00,8076470000.00,8317830000.00,8881160000.00,8870090000.00,9055290000.00,9836200000.00,10167250000.00,10618340000.00,10526000000.00,9981960000.00,10095760000.00,10070450000.00,10720500000.00,10568400000.00,11111600000.00,11710800000.00,11928500000.00,12490700000.00,13022100000.00,13578800000.00,11250000000.00
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,1255802469.14,1866572953.74,2786045321.64,3671816504.24,4116699437.40,4685733115.47,5505887894.49,5748993411.42,6651106833.49,8369878822.85,10596205714.29,11222953519.43,12864610993.52,15778767669.70,19112739664.47,17613836209.96,17176781336.76,18644723860.97,17226849297.07,18178503835.45,18558343508.34,16211541820.24,16913330693.97,18080118128.39,20183510561.26,20202479537.52,19788422248.11
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,21650000000.00,,,,17793000000.00,13489222222.22,14756846153.85,14108846153.85,15264369565.22,12152867469.88,12738912133.89,12354820143.88,14594249022.89,17827791321.31,23144351851.85,30207567316.62,36954312354.31,45277399813.61,60763483146.07,50874078052.27,57222490768.71,61757788944.72,65685102554.88,75527984234.23,78813839984.35,56454734396.58,47722657820.67,54726595249.18,60031262269.34,64409647193.80,60258239055.58
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,28.07,29.96,31.86,33.75,36.19,40.07,44.41,47.38,44.91,47.31,53.23,59.21,66.06,78.34,103.22,118.07,96.91,117.65,136.30,151.80,197.94,196.09,182.21,192.10,214.38,212.64,231.64,281082558.59,320093360.27,369133890.70,412086445.49,444720750.00,518559700.71,560205282.30,581269536.37,620422500.15,641660005.32,654582899.94,689140012.19,732732353.18,832072464.65,868358727.47,925197971.51,983575615.25,1051386576.48,1102564880.04,1210603726.51,1271598044.65,1351338648.58,1317309445.60,1377177082.64,1460797903.23,1522897506.08,1579411253.01,1667335060.96,1721700991.47,1789304087.79,1858529676.72,1915899786.96,1982518540.61,1763696118.95
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,84.47,89.25,94.15,96.37,107.57,114.34,134.17,155.10,150.00,164.90,186.30,211.10,235.40,269.50,312.60,345.00,386.30,447.00,475.80,517.20,613.30,739.10,785.50,889.40,985.70,1039.50,1173.50,1296499968.00,1415100032.00,1501500032.00,1592400000.00,1634900000.00,1679900000.00,1820359900.00,1867160100.00,2030750000.00,2695390000.00,2932827000.00,3130748000.00,3324433000.00,3480219000.00,3680483000.00,3937228000.00,4186525000.00,4484703000.00,4868136000.00,6144000000.00,6767000000.00,6980000000.00,6656000000.00,6634526000.00,6312691000.00,6378188000.00,6465756000.00,6413988000.00,6654541000.00,6899911000.00,7142316000.00,7224329000.00,7484113000.00,
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,373.88,406.68,444.67,478.81,539.49,604.38,669.19,755.81,857.91,929.63,1017.00,1095.62,1257.62,1262.97,2100.25,2404.70,2731.98,3227.44,3758.22,4421.34,4526.92,5872.76,5587.49,5422.44,6169.50,5377.28,3958.34,4323623622.16,4597615562.67,4715978868.22,4867582620.21,5343274311.57,5643893347.01,5734676560.92,5981244886.92,6715220507.05,7396966657.47,7925673448.41,8497545598.08,8285075872.27,8397912509.10,8141537937.61,7905485216.18,8082364868.39,8773451738.91,9549077869.11,11451869164.71,13120183156.71,16674324634.24,17339992165.24,19649631308.16,23963033429.44,27084497481.91,30659338885.67,32996188017.37,33000198248.91,33941126193.92,37508642170.77,40287647930.54,40895322850.94,36688861202.60
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,15165.57,15236.85,19926.29,23021.48,21211.89,21790.04,27062.72,30591.83,33875.88,37458.90,42327.60,49204.46,58539.01,79279.06,105136.01,123709.38,152678.02,176171.28,200800.89,224969.49,235024.60,263561.09,281682.30,203304.52,209023.91,222942.79,268137.22,294084112392.66,330397381998.49,425595310000.00,461951782000.00,602860000000.00,400599250000.00,437798577639.75,558111997497.26,769305386182.85,850426432991.74,883199625324.68,863723411632.92,599388579985.67,655420645476.91,559372276081.97,507962487700.02,558319920831.98,669316654017.09,891630177251.07,1107640289615.23,1397084349956.35,1695824565983.20,1667019783585.08,2208871646202.82,2616200980392.16,2465188674415.03,2472806919901.67,2455993625159.37,1802214373741.32,1795700168991.49,2063507864886.88,1916947014067.55,1877810514260.36,1444733258971.65
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,311.81,402.18,435.91,495.10,552.88,670.36,1012.28,1114.20,1163.92,1236.02,1346.89,1409.54,1547.76,1704370307.76,1812757917.76,2006165166.81,2012131457.27,2020583702.08,1957000000.00,2063342117.04,2151344901.31,2216974096.36,2363645403.47,2498384129.67,2817083478.35,2951822204.54,3059500000.00,3054500000.00,3106500000.00,3209500000.00,3444500000.00,3819500000.00,4217500000.00,4674000000.00,4785000000.00,4465500000.00,4530000000.00,4657500000.00,4610000000.00,4677000000.00,4696500000.00,4715000000.00,4830000000.00,4978000000.00,5086500000.00,5209000000.00,4365500000.00
