Country Name,Year,LowerSecondaryAttainment,UpperSecondaryAttainment,BachelorsAttainment,MastersAttainment,DoctoralAttainment,GDP_Millions,%_expenditure_gdp
Georgia,2019,98.8015182,93.91611351,35.28213927,27.68532571,0.59496749,17477255562,4.46035135
Germany,2010,96.52384186,81.12799072,28.279786,9.59872013,1.019298812,3396354075664,4.94367981
Germany,2011,96.71362305,81.72286224,29.05782525,9.702293467,1.05287524,3744408602684,4.82487011
Germany,2012,96.73085785,82.04736328,29.8358645,10.01387921,1.09274102,3527344944140,4.956580162
Germany,2013,96.67179108,82.30825043,30.61390376,10.57390514,1.180361203,3732743446219,4.961110115
Germany,2014,96.79914856,82.99720764,24.18294907,10.74888992,1.261129975,3883920155292,4.939620018
Germany,2015,96.71611786,83.08336639,24.74205017,11.03293991,1.289240003,3356235704120,4.834980011
Germany,2016,96.51364136,83.00641632,25.58012009,11.50854969,1.32317996,3467498002104,4.840219975
Germany,2017,96.9273939,83.12497194,25.72606077,11.45916235,1.39810281,3771406370000,4.85627719
Germany,2018,96.3322525,83.46130371,25.14987946,11.19859028,1.252959967,3961831911429,4.84530863
Germany,2019,96.9915182,83.91611351,26.28213927,11.20182923,1.31801389,3888326788627,4.83434006
Greenland,2010,100,36.17058979,9.94770473,2.69515336,0.081492,2503156061,12.7138
Greenland,2011,100,36.94935455,10.05845584,2.76014214,0.08639,2684467376,12.5761
Greenland,2012,100,38.18769073,10.13576984,2.828720093,0.104869999,2609667674,12.3384
Greenland,2013,100,38.50688405,10.27995807,2.89011969,0.096186,2684952727,12.2007
Greenland,2014,100,38.92531967,10.39210033,2.944240093,0.08444000036,2842048998,12.163
Greenland,2015,100,39.62570953,10.56647968,3.02741003,0.1010100022,2499115623,12
Greenland,2016,100,40.8431783,10.61221142,3.08508601,0.11088,2707146783,11.086
Greenland,2017,100,41.62194306,10.72296253,3.15007479,0.115778,2826651926,11.029
Greenland,2018,100,42.74016953,10.80074024,3.215029955,0.1287100017,3051626390,10.56
Greenland,2019,100,43.17947256,10.94446476,3.28005234,0.125574,3030421480,10.0745
Hungary,2010,97.93047333,75.6911087,18.42988814,6.71604891,0.33380498,131916516052,4.761209965
Hungary,2011,98.20565796,76.65756226,18.80148906,7.08912692,0.40551999,141759722464,4.590109825
Hungary,2012,98.28556824,77.6319809,19.17308998,7.46220493,0.47723499,128475498380,4.163859844
Hungary,2013,98.39373779,78.48741913,19.42597961,7.54861021,0.5028399825,135411698965,4.197730064
Hungary,2014,96.64061737,74.12236023,19.9017601,8.479809761,0.6592400074,140765018881,4.61743021
Hungary,2015,96.76660919,75.09918213,20.67308998,8.89855957,0.7535600066,125074286021,4.518660069
Hungary,2016,97.17649841,76.05977631,20.40753937,8.652620316,0.7104499936,128470534118,4.655389786
Hungary,2017,96.65916987,75.46128737,21.03109455,9.327595,0.83581001,142961605733,4.49965715
Hungary,2018,96.4168494,75.264131,21.40269547,9.70067301,0.90752501,160431092909,4.49941467
Hungary,2019,96.17452893,75.06697464,21.77429639,10.07375102,0.97924001,163503650313,4.49917218
Indonesia,2010,43.76414194,28.03594837,6.69162692,0.46620746,0.00476357,755094160363,3.0757423
Indonesia,2011,44.48204041,28.93486023,7.03298618,0.4826866,0.01053143,892969107923,3.189440012
Indonesia,2012,45.1511226,29.73953916,7.37434544,0.49916574,0.01629928,917869910106,3.24250691
Indonesia,2013,45.84461292,30.59133456,7.7157047,0.51564488,0.02206714,912524136718,3.32588921
Indonesia,2014,47.29391861,31.09284019,7.966499805,0.5644500256,0.027835,890814755233,3.288009882
Indonesia,2015,48.80207062,32.26202011,8.483010292,0.516470015,0.03212999925,860854235065,3.583600044
Indonesia,2016,43.97230911,33.73175049,8.79403019,0.5486299992,0.04157999903,931877364178,3.57603612
Indonesia,2017,48.61857423,33.99851614,9.08114174,0.58156144,0.04513857,1015618742566,3.65941843
Indonesia,2018,50.91413879,34.60136032,9.374230385,0.6143000126,0.05017000064,1042271531012,3.74280073
Indonesia,2019,50.00555488,35.70210693,9.76386027,0.61451972,0.05667429,1119091259075,3.82618303
"Iran, Islamic Rep.",2010,62.48841858,42.48559189,13.56689112,1.94836419,0.17253572,486807615326,3.709180117
"Iran, Islamic Rep.",2011,64.0672287,43.63300896,14.36093761,2.36781107,0.20493886,580764902917,3.36231608
"Iran, Islamic Rep.",2012,69.2277298,44.23712158,14.8149004,2.778789997,0.2233400047,598868460913,3.168590069
"Iran, Islamic Rep.",2013,67.73120117,46.3118515,16.3200798,3.209389925,0.2989200056,460293149324,3.06795001
"Iran, Islamic Rep.",2014,68.47985077,46.95283127,16.56667061,3.63906002,0.2863900065,432687036178,2.801350117
"Iran, Islamic Rep.",2015,68.80798035,47.7162571,16.83712355,4.04559861,0.33455143,384951479697,3.08281608
"Iran, Islamic Rep.",2016,69.83145905,48.38576889,18.17661095,4.457920074,0.3675400019,417983583566,3.365760088
"Iran, Islamic Rep.",2017,73.09810563,49.75788116,19.12521651,4.88449238,0.39935772,445345256459,2.94306607
"Iran, Islamic Rep.",2018,73.9137209,50.7786932,19.919263,5.30393926,0.43176086,294356680625,2.87319107
"Iran, Islamic Rep.",2019,74.3882309,51.79950523,20.71330948,5.72338614,0.464164,258245497664,2.80331607
Latvia,2010,99.11830139,85.56651306,25.14457094,6.63577273,0.00165837,23869752327,5.072710037
Latvia,2011,99.09664154,85.07553101,25.75124888,7.59473359,0.11435555,28374734038,4.932980061
Latvia,2012,99.22438812,86.34323883,26.35792681,8.55369445,0.23036946,28324787664,6.582499981
Latvia,2013,99.32103729,87.16148376,27.79107094,9.51265531,0.4690099955,30436727789,6.980400085
Latvia,2014,99.42137909,87.78637695,26.55406952,10.6576004,0.4769699872,31329367173,5.27489996
Latvia,2015,99.62120819,88.59690857,27.79356003,11.64772987,0.5426200032,27239653844,5.314129829
Latvia,2016,100,89.41101074,29.3295002,11.69184017,0.4124000072,28052325862,4.712989807
Latvia,2017,100,89.82327787,29.39131647,13.34849875,0.81043904,30383528686,5.32087837
Latvia,2018,100,90.30303192,30.02828026,14.60202026,1.107069969,34399206590,5.2628619
Latvia,2019,100,91.18195402,30.60467233,15.26642047,1.04246687,34055464655,5.20484543
Lithuania,2010,90.95951843,80.54962158,22.53936558,13.56363526,0.30562803,37128694028,5.312739849
Lithuania,2011,91.63420105,81.66577911,24.40650292,13.5504652,0.35374202,43535051482,5.127089977
Lithuania,2012,91.41516876,81.5528717,26.27364025,13.53729515,0.40185602,42927454291,4.769229889
Lithuania,2013,92.28945923,82.31008911,26.38526917,13.5241251,0.4427500069,46523420074,4.609499931
Lithuania,2014,93.06397247,83.32887268,31.49510002,13.19715023,0.4686700106,48533659592,4.49105978
Lithuania,2015,93.78500366,84.31430054,33.09735107,14.00611973,0.6087800264,41418872976,4.22988987
Lithuania,2016,94.94135284,86.00730896,33.85807037,13.40935993,0.5862699747,43018087238,4.003940105
Lithuania,2017,95.60077667,87.30721283,34.53947067,13.35216999,0.6245200038,47640770634,3.812829971
Lithuania,2018,96.00985581,87.57489232,37.47646426,13.45827484,0.69053999,53696648755,3.58820035
Lithuania,2019,96.68733896,88.50720015,39.3436016,13.44510479,0.73865399,54639938780,3.37568155
Malta,2010,68.13394165,25.86957932,9.1554175,2.3642881,0.08451082,9035932123,6.454889774
Malta,2011,69.74372864,27.37339973,10.1541041,2.83412115,0.12690528,9638916481,7.796120167
Malta,2012,73.2910614,32.43569946,11.15279069,3.3039542,0.16929974,9462238211,6.522429943
Malta,2013,75.63938904,34.48049927,13.08806992,4.23611021,0.2690300047,10551661177,7.876140118
Malta,2014,76.88651276,35.77473068,13.45734978,4.216569901,0.2449299991,11626281387,7.204949856
Malta,2015,77.57135773,36.90779877,13.28485966,4.420159817,0.2790800035,11091434484,5.216350079
Malta,2016,78.21851349,38.07236862,13.48766994,4.521520138,0.2399599999,11721521913,5.207540035
Malta,2017,80.91635379,42.12993227,16.14622367,5.65311946,0.38127202,13221298308,5.43705007
Malta,2018,82.17867279,45.21572113,18.4249897,6.642739773,0.491809994,14864712990,5.14351187
Malta,2019,84.29914288,46.64175903,18.14359686,6.59278557,0.46606094,15215714309,4.84997368
Mexico,2010,53.08692169,29.20441055,12.76121998,1.311210036,0.1426800042,1057801295584,5.159220219
Mexico,2011,54.89949259,30.805829,13.17303583,1.34932007,0.13328375,1180489601958,5.14220616
Mexico,2012,58.01192093,33.79750824,13.54650003,1.38131312,0.12711313,1201089987015,5.103099823
Mexico,2013,56.55838013,31.6299305,14.3226099,1.28283,0.08504000306,1274443084717,4.696050167
Mexico,2014,57.48696899,31.7997303,13.95713043,1.244339943,0.08402000368,1315351183525,5.260620117
Mexico,2015,59.53876114,33.34621811,14.77964973,2.087739944,0.2247699946,1171867608198,5.235239983
Mexico,2016,59.71266937,33.29468918,14.71039009,1.395419955,0.07626000047,1078490651625,4.909490108
Mexico,2017,61.1710701,34.10905075,15.37425995,1.442819953,0.07681000233,1158913035796,4.522819996
Mexico,2018,63.23591995,35.65462875,16.01605988,1.512699962,0.0829700008,1222348807283,4.75409021
Mexico,2019,63.67183972,35.66198734,16.16074942,1.60526447,0.08391875,1268870527160,4.69864508
Moldova,2010,93.78920746,74.40273285,18.86513009,0.29854246,0.0381,6974960345,7.592299938
Moldova,2011,94.31947327,74.43657684,19.02300855,0.40665247,0.054285,8414360656,7.136380196
Moldova,2012,95.03304291,74.54644775,19.18088702,0.51476247,0.07047,8709165249,6.983389854
Moldova,2013,95.49427795,74.10775757,19.03648949,0.568780005,0.06374000013,9496684701,6.683564
Moldova,2014,96.17194366,74.72078705,20.08584023,0.6891899705,0.08299999684,9510219300,6.266019821
Moldova,2015,96.37618256,74.7263031,19.37272072,0.9849699736,0.1836699992,7745231660,6.15514502
Moldova,2016,96.70506144,74.88102674,19.81240089,0.9472025,0.13521,8071480541,5.89093554
Moldova,2017,97.15040794,74.98566171,19.97027936,1.05531251,0.151395,9669759987,5.62672605
Moldova,2018,97.28971863,75.23851776,20.12303925,1.113430023,0.1456899941,11456728401,5.439730167
Moldova,2019,98.04110095,75.19493163,20.28603629,1.27153252,0.18376499,11968699006,5.09830708
Netherlands,2010,89.52279663,66.77232361,24.94379317,9.17204694,0.50275244,846554894931,5.489089966
Netherlands,2011,89.43125153,66.4095993,25.70843756,9.48927253,0.51720582,904085980796,5.463039875
Netherlands,2012,89.85910797,67.09863281,26.47308195,9.80649812,0.5316592,838971306991,5.410220146
Netherlands,2013,89.41146088,69.5296936,27.21899033,10.06694031,0.554610014,876923518850,5.52655983
Netherlands,2014,89.3653717,69.42220306,28.01170921,10.55712986,0.5608400106,890981311078,5.458899975
Netherlands,2015,89.48812103,69.5704422,28.86907005,10.73480034,0.5670800209,765264949781,5.34815979
Netherlands,2016,89.71404266,69.98719788,29.40674019,11.02005959,0.5795900226,783528181705,5.479599953
Netherlands,2017,89.90288027,70.77577106,30.2963039,11.39262604,0.6039261,831809944961,5.42371702
Netherlands,2018,90.36831665,71.10495758,31.09321022,11.72916985,0.6274300218,913597086063,5.41623308
Netherlands,2019,90.05566347,71.98400206,31.82559268,12.02707722,0.63283286,910194347569,5.40874914
Norway,2010,99.70407867,75.4141922,22.70531845,8.13083039,0.71464902,428757038467,6.746339798
Norway,2011,99.59889984,75.99201965,23.47582054,8.52348032,0.75945601,498283438454,6.454520226
Norway,2012,99.50268649,76.275907,24.24632263,8.91613026,0.80426301,509506317147,7.00384199
Norway,2013,99.42991612,76.66709651,25.01682472,9.3087802,0.84907001,522761531915,7.22063369
Norway,2014,99.20953369,77.00605774,25.72669029,9.681770325,0.8836100101,498410050251,7.695040226
Norway,2015,99.22878265,77.48571777,26.65008926,10.12217999,0.9476000071,385801550067,7.569330215
Norway,2016,99.23400879,77.83640289,27.32571983,10.48950958,0.9964600205,368827142857,8.030550003
Norway,2017,99.24034119,78.22413635,28.0698204,10.86816025,1.016680002,398393955269,7.911980152
Norway,2018,99.06606424,78.62304406,28.86933517,11.27202988,1.07310501,436999692591,8.30459218
Norway,2019,99.13883461,79.01423357,29.63983726,11.66467981,1.11791201,405510000000,8.52138387
Pakistan,2010,33.38510132,23.87871933,6.974460125,1.64847142,0.47168861,177165635077,2.286870003
Pakistan,2011,33.24782181,24.15409088,7.368189812,1.67465746,0.47643256,213587413184,2.221750021
Pakistan,2012,34.97536087,25.64950943,7.7619195,1.63380003,0.4623300135,224383620830,2.13628006
Pakistan,2013,35.42733002,26.07061005,8.15564919,1.732929945,0.490139991,231218567179,2.493439913
Pakistan,2014,37.33127975,27.71788979,8.54937887,1.880820036,0.5160999894,244360888751,2.465929985
Pakistan,2015,36.40229864,27.50868036,8.94310856,1.77940162,0.49540837,270556131701,2.70228299
Pakistan,2016,37.23775101,27.61001968,9.33683825,1.73439002,0.5012000203,278654637738,3.002919912
Pakistan,2017,36.43153,27.25329018,9.73056793,1.836509943,0.4930399954,304567253219,2.89951992
Pakistan,2018,38.09727756,28.66283867,10.12429762,1.85795974,0.50964024,314567541558,3.05460076
Pakistan,2019,38.66227053,29.2175581,10.51802731,1.88414578,0.51438419,278221906023,3.17204002
Paraguay,2010,42.28403969,32.00719375,9.59895725,5.21565394,0.129309,27237782850,3.78214014
Paraguay,2011,43.3310658,32.98938936,10.08841823,5.46944596,0.12065671,33756238767,3.7248401
Paraguay,2012,42.6785202,32.14160156,9.232540131,4.607719898,0.05251000077,33296438306,3.667540073
